word,neighbors,optimal_moves
aahed,2,5
ached,7,5
ashed,5,5
abaca,3,5
abaka,1,5
abaci,2,5
aback,3,5
alack,6,5
abase,3,5
abuse,2,5
abate,3,5
abash,2,5
awash,2,5
agate,5,5
alate,7,5
abbas,2,5
albas,5,5
abbes,4,5
ables,5,6
abyes,3,6
abbey,1,5
abele,1,6
anele,5,5
abets,1,
abuts,1,
abide,4,5
amide,8,5
aside,3,5
azide,5,5
abode,3,5
abler,1,6
arles,4,6
axles,3,5
anode,2,5
above,1,5
aboma,1,
aroma,1,
abort,3,5
amort,2,5
aport,4,5
about,1,5
abris,2,5
arris,5,5
auris,6,5
amuse,1,6
abyss,2,6
abysm,1,5
eched,2,5
acned,5,5
acred,6,5
acted,4,5
aches,6,5
eches,3,5
ashes,4,6
acmes,4,5
acnes,4,5
acres,6,5
acids,2,5
amids,9,5
acidy,1,5
acing,6,5
icing,2,5
aging,4,5
aping,5,5
awing,6,5
axing,4,5
acini,1,6
almes,4,5
awned,2,5
acold,2,5
scold,2,5
ahold,1,5
acorn,2,5
scorn,4,5
adorn,3,5
aired,11,5
acrid,1,5
apres,3,5
aures,9,5
anted,2,5
acute,1,5
scute,5,5
acyls,2,6
amyls,2,6
aryls,3,5
adapt,2,
adept,2,
adopt,2,
added,2,5
aided,11,5
adder,5,5
odder,4,6
udder,3,5
aider,13,5
alder,5,5
adios,2,9
agios,1,10
adits,2,8
edits,3,6
adman,3,6
atman,3,5
axman,3,6
admen,2,6
axmen,2,6
admit,1,
admix,1,
adobe,3,6
adore,4,6
adoze,2,6
adobo,1,7
afore,2,7
adown,1,5
adult,1,
adust,1,
aedes,4,5
cedes,11,5
pedes,6,5
redes,9,5
aides,10,5
aeons,5,5
neons,3,5
peons,9,5
agons,5,5
axons,5,5
azons,4,5
aerie,1,
eerie,2,
afars,1,6
agars,2,5
afire,1,7
after,4,6
ofter,7,5
alter,5,5
apter,3,6
aster,7,6
again,1,
amain,1,
agape,3,5
agave,3,5
agaze,4,5
agers,4,6
amaze,2,6
agene,3,5
akene,2,5
agone,6,5
agent,3,5
ament,4,5
anent,2,5
egers,3,5
apers,3,6
avers,5,5
agger,3,5
egger,5,5
anger,3,5
auger,5,5
aghas,1,6
agmas,3,5
agile,2,6
anile,9,5
axile,5,5
agism,1,
agist,2,
alist,1,
aglee,4,
allee,2,
agree,1,
aglet,2,
agley,3,
alley,4,
aglow,1,
allow,4,
almas,8,5
atmas,4,5
alone,7,5
atone,5,5
axone,4,5
agony,3,5
atony,5,5
agria,1,5
atria,3,5
bided,11,5
hided,11,5
nided,7,5
sided,10,5
tided,10,5
ailed,10,5
aimed,9,5
bider,11,5
cider,10,5
eider,8,5
hider,11,5
rider,14,5
wider,13,5
aimer,9,5
airer,8,5
aiver,11,5
bides,18,5
hides,13,5
nides,14,5
rides,17,5
sides,18,5
tides,13,5
wides,19,5
filed,13,5
oiled,8,5
piled,15,5
riled,13,5
tiled,13,5
wiled,16,5
axled,2,5
limed,11,5
mimed,11,5
rimed,10,5
timed,12,5
armed,4,5
dimer,10,5
mimer,12,5
rimer,12,5
timer,10,5
armer,5,5
fired,13,5
hired,12,5
mired,13,5
sired,15,5
tired,13,5
wired,16,5
direr,10,5
firer,13,5
hirer,8,5
wirer,10,5
airns,5,5
firns,7,5
girns,8,5
kirns,8,5
pirns,7,5
airts,4,5
airth,6,5
birth,7,5
firth,8,5
girth,8,5
mirth,5,5
yirth,5,5
dirts,8,5
girts,10,5
aisle,1,
lisle,1,
aitch,6,5
bitch,10,5
ditch,7,5
fitch,9,5
hitch,9,5
pitch,8,5
witch,8,5
diver,15,5
fiver,16,5
giver,11,5
jiver,12,5
liver,20,5
river,20,5
siver,12,5
wiver,15,5
akees,1,5
skees,8,5
skene,2,5
black,7,5
clack,11,5
flack,10,5
plack,8,5
slack,11,5
aland,7,5
bland,8,5
eland,4,5
gland,5,5
alane,8,5
alang,7,5
alans,11,5
alant,7,5
plane,7,5
aline,7,5
clang,7,5
slang,9,5
along,5,5
clans,17,5
elans,7,5
flans,14,5
glans,12,5
plans,13,5
ulans,6,5
azans,2,5
plant,6,5
slant,5,5
avant,2,5
alarm,1,6
alary,3,5
clary,4,5
glary,6,5
blate,11,5
elate,7,5
plate,10,5
slate,11,5
alfas,4,5
algas,8,5
alias,8,5
album,1,
algum,1,
alcid,1,8
algid,2,7
elder,5,5
older,5,6
alecs,1,6
alefs,3,5
clefs,4,5
alifs,2,5
alert,1,7
avert,4,6
algae,2,5
algal,3,5
argal,6,5
angas,6,5
avgas,2,5
algin,2,7
aloin,2,6
glias,3,5
amias,7,5
arias,5,5
alien,1,
align,1,
alike,2,5
alive,3,5
cline,6,5
amine,7,5
azine,3,5
olive,2,5
alkyd,1,
alkyl,2,
allyl,1,
allay,3,
alway,1,
alloy,5,
allod,3,
allot,3,
almah,2,5
almeh,2,5
aloes,3,5
almud,2,6
aloud,2,6
almug,1,7
floes,11,5
sloes,9,5
aloha,1,
alpha,1,
eloin,3,5
clone,8,5
flong,4,5
klong,2,5
among,1,5
aloof,1,
kloof,1,
cloud,3,5
altar,2,5
attar,2,5
altos,1,
autos,1,
alums,3,5
plums,7,5
slums,12,5
arums,2,5
amahs,2,6
ayahs,1,6
amass,2,5
amiss,6,5
smaze,1,7
amber,4,
ember,7,
omber,3,
umber,4,
ameer,2,
amble,2,7
amole,4,6
ample,4,7
ambos,2,
umbos,1,
ammos,1,
emeer,3,
amend,3,5
emend,1,5
amens,5,5
omens,4,5
avens,4,5
amins,9,5
amies,5,5
amirs,6,5
amice,3,5
amici,1,5
imide,4,5
amido,6,5
imido,4,5
azido,2,5
amigo,3,5
amino,5,5
imids,4,5
amiga,1,6
imine,3,5
imino,3,5
ayins,2,5
emirs,2,5
amnia,1,
amnic,1,
anole,7,5
azole,3,6
apple,2,8
amply,3,7
imply,1,5
apply,3,8
ancon,1,
anion,6,
angle,6,5
ankle,5,5
anlas,5,5
annas,5,5
anoas,4,5
antas,7,5
angel,1,6
ingle,2,5
argle,2,7
anime,4,5
anise,3,5
anils,3,5
arils,4,5
axils,4,5
anima,2,5
animi,2,5
inion,3,
onion,3,
union,4,
avion,3,
axion,3,
arise,4,5
ankhs,1,
ankus,1,
inkle,2,5
atlas,2,5
annal,2,6
annul,1,6
anomy,1,5
atomy,4,5
ansae,1,6
antae,3,6
antre,2,6
antes,3,6
antis,4,5
antic,3,6
ontic,2,5
attic,1,7
intis,1,5
antra,1,7
antsy,1,
artsy,1,
apace,1,5
space,8,5
apart,1,5
apeak,2,5
speak,6,5
apeek,1,6
apery,1,7
aphid,1,5
aphis,2,6
apsis,3,5
apian,1,
avian,2,
oping,4,5
sport,7,5
appal,1,
appel,1,
aptly,1,9
apses,4,5
arses,5,5
asses,5,6
arsis,3,5
aquae,1,
aquas,1,
arbor,2,5
ardor,2,5
armor,3,5
arced,1,5
arcus,2,5
ascus,1,6
argus,2,5
areae,3,5
arete,1,5
areal,6,5
areas,5,5
ureal,4,5
artal,4,6
arval,3,6
ureas,3,5
arras,5,5
areca,1,5
arena,2,7
areic,1,
ureic,1,
frena,2,6
argil,2,5
argol,4,5
argue,2,7
argon,3,5
argot,3,5
arson,1,6
ergot,1,6
ariel,2,6
oriel,1,6
artel,2,5
frise,3,5
prise,14,5
arose,4,5
orles,2,5
armet,2,5
ormer,2,6
aroid,1,
avoid,2,
brose,6,5
erose,5,5
prose,14,5
arpen,1,5
aspen,3,5
auras,10,5
array,1,5
orris,2,5
erses,4,5
drums,5,5
ascot,1,
escot,1,
asdic,1,
aspic,2,
asked,4,5
ashen,3,5
tsked,2,5
asker,5,6
askew,2,6
esker,3,5
asper,3,6
askoi,1,
askos,1,
aspis,1,
assai,1,
assay,2,
essay,1,
esses,3,5
asset,1,5
ester,4,5
astir,1,5
atilt,1,5
stilt,5,5
atoms,1,6
atopy,2,5
stone,11,5
stony,4,5
stria,2,5
atrip,2,5
strip,6,5
ottar,2,5
audio,1,
audit,1,
huger,2,5
luger,8,5
augur,1,5
aught,1,
ought,1,
aulic,1,5
auric,2,5
aunts,8,5
bunts,15,5
cunts,10,5
dunts,16,5
hunts,12,5
lunts,13,5
punts,15,5
runts,13,5
aunty,3,5
punty,8,5
runty,6,5
aurae,3,5
aural,8,5
aurar,3,5
dural,7,5
jural,8,5
mural,7,5
rural,6,5
sural,8,5
buras,13,5
duras,10,5
muras,9,5
suras,10,5
aurei,1,5
cures,20,5
dures,15,5
lures,17,5
mures,16,5
puris,8,5
aurum,1,
durum,1,
avast,1,5
evens,3,5
ovens,5,5
overs,5,5
evert,5,5
overt,3,5
ovoid,1,
awake,2,5
awoke,1,5
aware,3,5
award,2,5
sward,7,5
sware,13,5
swash,7,5
owing,4,5
swing,9,5
owned,2,6
axels,1,6
exile,3,5
axite,1,6
axiom,1,
exons,2,5
pyins,3,5
azote,2,5
azoth,1,5
baaed,7,5
baked,16,5
baled,13,5
baned,15,5
bared,20,5
based,14,5
bated,17,5
bayed,13,5
baals,3,5
bails,17,5
balls,21,5
bawls,8,5
babas,3,5
balas,9,5
babes,13,5
babus,5,5
babel,4,5
label,3,5
bagel,1,5
babul,2,5
mabes,13,5
nabes,10,5
sabes,15,5
tabes,16,5
bakes,19,5
bales,26,5
banes,24,5
bares,27,5
bases,21,5
bates,22,5
baboo,2,5
taboo,2,5
bazoo,2,5
habus,2,5
tabus,6,5
backs,17,5
hacks,18,5
jacks,13,5
lacks,15,5
macks,17,5
packs,19,5
racks,16,5
sacks,14,5
tacks,20,5
wacks,17,5
yacks,13,5
becks,12,5
bocks,17,5
bucks,18,5
balks,15,5
banks,14,5
barks,21,5
basks,13,5
bacon,4,5
macon,3,5
racon,5,5
baron,3,6
baton,3,6
baddy,11,5
caddy,8,5
daddy,7,5
faddy,5,5
paddy,7,5
waddy,6,5
biddy,6,5
buddy,6,5
baldy,7,5
bandy,12,5
bawdy,5,5
badly,4,5
badge,4,5
cadge,4,5
fadge,4,5
budge,5,5
barge,10,5
madly,4,5
sadly,3,5
bally,15,5
baffs,11,5
caffs,10,5
daffs,9,5
gaffs,8,5
raffs,9,5
waffs,8,5
yaffs,6,5
biffs,8,5
boffs,7,5
buffs,16,5
barfs,8,5
baffy,5,5
daffy,3,5
taffy,3,5
biffy,5,5
buffy,7,5
baggy,7,5
faggy,7,5
jaggy,6,5
naggy,5,5
raggy,6,5
saggy,6,5
boggy,9,5
buggy,7,5
bahts,3,5
baits,8,5
basts,19,5
batts,12,5
fails,16,5
hails,18,5
jails,13,5
kails,14,5
mails,22,5
nails,14,5
pails,17,5
rails,16,5
sails,16,5
tails,15,5
vails,14,5
wails,19,5
boils,10,5
bairn,1,8
cairn,2,7
baith,4,5
faith,4,5
laith,6,5
saith,5,5
gaits,5,5
waits,13,5
brits,11,5
baiza,1,6
baize,2,5
maize,2,5
caked,16,5
faked,17,5
laked,18,5
naked,9,5
raked,20,5
waked,16,5
biked,10,5
baker,13,5
faker,14,5
laker,19,5
maker,13,5
raker,18,5
saker,16,5
taker,17,5
waker,17,5
biker,10,5
baler,9,5
barer,12,5
baser,8,5
cakes,24,5
fakes,23,5
hakes,20,5
jakes,15,5
lakes,22,5
makes,23,5
rakes,26,5
sakes,24,5
takes,24,5
wakes,21,5
bikes,19,5
galas,7,5
talas,9,5
bolas,14,5
balds,11,5
balms,11,5
bolds,14,5
bands,18,5
bards,22,5
bauds,8,5
bawds,6,5
balky,7,5
balmy,7,5
haled,14,5
naled,6,5
paled,19,5
waled,15,5
haler,10,5
paler,18,5
taler,14,5
waler,13,5
dales,18,5
gales,21,5
hales,26,5
kales,13,5
males,26,5
pales,30,5
rales,25,5
sales,24,5
tales,29,5
vales,15,5
wales,25,5
biles,17,5
boles,22,5
calks,8,5
talks,11,5
walks,8,5
bilks,8,5
bulks,10,5
talky,4,5
bulky,6,5
barky,8,5
calls,16,5
falls,13,5
galls,14,5
halls,19,5
lalls,10,5
malls,18,5
palls,17,5
walls,17,5
bells,17,5
bills,24,5
bolls,18,5
bulls,19,5
dally,12,5
gally,13,5
pally,11,5
rally,8,5
sally,11,5
tally,9,5
wally,12,5
belly,13,5
billy,13,5
bully,13,5
calms,8,5
halms,13,5
malms,9,5
palms,8,5
barms,12,5
malmy,5,5
palmy,5,5
barmy,4,5
balsa,1,5
salsa,2,5
banal,3,5
canal,2,6
binal,3,5
basal,4,5
banco,2,5
bunco,4,5
banjo,1,5
hands,11,5
lands,9,5
rands,13,5
sands,10,5
wands,11,5
bends,17,5
binds,14,5
bonds,11,5
bunds,11,5
bangs,14,5
banns,6,5
candy,9,5
dandy,7,5
handy,9,5
pandy,11,5
randy,8,5
sandy,7,5
bendy,4,5
banty,6,5
caned,17,5
maned,13,5
paned,17,5
saned,12,5
vaned,8,5
waned,16,5
boned,13,5
canes,25,5
fanes,22,5
janes,14,5
kanes,14,5
lanes,22,5
manes,24,5
panes,25,5
sanes,24,5
vanes,15,5
wanes,23,5
benes,9,5
bines,24,5
bones,22,5
dangs,11,5
fangs,11,5
gangs,9,5
hangs,12,5
pangs,14,5
tangs,14,5
vangs,9,5
yangs,9,5
bongs,14,5
bungs,12,5
hanks,14,5
ranks,9,5
tanks,9,5
yanks,6,5
bonks,15,5
bunks,17,5
bunns,8,5
barns,16,5
canty,8,5
janty,3,5
panty,11,5
batty,12,5
bawty,3,5
barbe,5,5
barde,5,5
barre,5,5
barye,4,5
barbs,11,5
carbs,13,5
darbs,8,5
garbs,4,5
burbs,10,5
cards,20,5
fards,15,5
hards,19,5
lards,16,5
nards,15,5
pards,17,5
sards,16,5
wards,17,5
yards,12,5
birds,8,5
burds,15,5
cared,24,5
dared,16,5
eared,13,5
fared,22,5
hared,19,5
oared,10,5
pared,23,5
rared,22,5
tared,17,5
wared,19,5
bored,11,5
carer,18,5
darer,10,5
farer,12,5
parer,19,5
rarer,16,5
yarer,7,5
borer,8,5
cares,37,5
dares,23,5
fares,30,5
hares,29,5
lares,26,5
mares,28,5
nares,20,5
pares,31,5
rares,24,5
tares,28,5
wares,27,5
bores,19,5
byres,9,5
zarfs,1,5
large,7,5
marge,8,5
parge,10,5
sarge,8,5
targe,6,5
baric,4,5
daric,2,5
naric,3,5
boric,2,5
basic,4,5
carks,20,5
darks,17,5
harks,19,5
larks,15,5
marks,18,5
narks,14,5
parks,20,5
sarks,14,5
warks,19,5
birks,9,5
darky,6,5
larky,7,5
narky,5,5
sarky,5,5
barny,4,5
farms,10,5
harms,12,5
warms,10,5
berms,9,5
carns,19,5
darns,14,5
earns,8,5
karns,12,5
tarns,14,5
warns,14,5
yarns,9,5
burns,13,5
carny,5,5
boron,3,6
tarre,3,5
nasal,4,5
vasal,3,5
basil,4,5
cased,12,5
eased,8,5
lased,16,5
rased,17,5
bused,4,5
laser,15,5
maser,9,5
raser,14,5
cases,24,5
eases,14,5
gases,16,5
lases,21,5
oases,11,5
pases,20,5
rases,25,5
vases,12,5
bises,15,5
buses,9,5
basis,7,5
basin,4,5
sasin,5,5
oasis,3,5
casks,11,5
masks,8,5
tasks,7,5
bisks,8,5
bosks,8,5
busks,14,5
bassi,3,5
byssi,1,5
basso,3,5
bassy,6,5
lasso,1,6
gassy,5,5
massy,10,5
sassy,4,5
bossy,5,5
baste,6,5
caste,7,5
haste,7,5
paste,10,5
taste,7,5
waste,6,5
casts,20,5
easts,11,5
fasts,13,5
gasts,16,5
lasts,13,5
masts,18,5
oasts,13,5
pasts,19,5
vasts,13,5
wasts,19,5
bests,16,5
busts,14,5
batch,11,5
catch,9,5
hatch,11,5
latch,11,5
match,10,5
natch,9,5
patch,10,5
ratch,11,5
watch,9,5
botch,6,5
butch,8,5
dated,15,5
fated,19,5
gated,14,5
hated,17,5
lated,22,5
mated,19,5
pated,20,5
rated,22,5
sated,16,5
cates,26,5
dates,21,5
fates,22,5
gates,18,5
hates,21,5
mates,29,5
nates,18,5
pates,23,5
rates,28,5
sates,24,5
tates,22,5
bites,19,5
bytes,5,5
baths,8,5
bathe,3,5
lathe,9,5
rathe,3,5
laths,8,5
maths,10,5
oaths,4,5
paths,6,5
beths,5,5
beton,3,8
matts,12,5
watts,7,5
bitts,7,5
botts,10,5
butts,9,5
battu,2,5
catty,8,5
fatty,7,5
natty,10,5
patty,14,5
ratty,7,5
tatty,10,5
bitty,9,5
butty,12,5
gauds,8,5
lauds,7,5
mauds,7,5
yauds,6,5
baulk,1,5
caulk,3,5
pawls,6,5
wawls,6,5
yawls,6,5
bowls,8,5
fayed,14,5
hayed,13,5
layed,16,5
mayed,11,5
payed,16,5
rayed,16,5
bazar,2,5
gazar,3,5
lazar,3,5
kazoo,2,6
beach,8,5
leach,8,5
peach,7,5
reach,7,5
teach,6,5
brach,5,5
beech,4,5
belch,4,5
bench,7,5
beads,14,5
deads,11,5
heads,12,5
leads,14,5
meads,11,5
reads,15,5
brads,9,5
beaks,11,5
beams,12,5
beans,15,5
bears,21,5
beats,20,5
beaus,8,5
beady,7,5
heady,5,5
leady,8,5
ready,6,5
beaky,6,5
beamy,4,5
leaks,10,5
peaks,12,5
teaks,7,5
leaky,7,5
peaky,8,5
braky,3,5
reams,8,5
seams,11,5
teams,10,5
blams,9,5
seamy,3,5
beano,1,5
deans,10,5
jeans,7,5
leans,14,5
means,13,5
peans,17,5
weans,10,5
yeans,9,5
brans,15,5
beard,3,5
heard,4,5
board,4,5
dears,17,5
fears,14,5
gears,14,5
hears,21,5
lears,22,5
nears,14,5
pears,20,5
rears,18,5
sears,20,5
tears,19,5
wears,16,5
years,14,5
boars,8,5
beers,12,5
beast,6,5
feast,5,5
least,7,5
yeast,3,5
blast,5,5
boast,7,5
beaut,3,5
feats,12,5
heats,15,5
meats,14,5
neats,14,5
peats,17,5
seats,20,5
teats,15,5
blats,13,5
boats,13,5
brats,14,5
beets,13,5
belts,12,5
bents,15,5
beaux,2,5
bebop,1,
rebop,1,
becap,1,6
recap,2,5
decks,13,5
fecks,10,5
gecks,11,5
hecks,12,5
kecks,10,5
necks,11,5
pecks,17,5
recks,13,5
bedel,5,5
wedel,1,6
betel,4,5
bevel,7,5
bezel,4,5
bedew,1,6
leech,3,5
beefs,6,5
keefs,9,5
reefs,7,5
beeps,11,5
beefy,3,5
reefy,5,5
beery,6,5
deeps,12,5
jeeps,9,5
keeps,15,5
neeps,11,5
peeps,13,5
seeps,16,5
veeps,9,5
weeps,13,5
deers,13,5
jeers,7,5
leers,12,5
peers,13,5
seers,13,5
veers,9,5
biers,7,5
leery,5,5
peery,5,5
veery,4,5
berry,11,5
deets,13,5
keets,11,5
leets,8,5
meets,8,5
weets,13,5
blets,5,5
befit,1,5
refit,4,6
befog,1,
defog,1,
began,5,5
vegan,1,5
bogan,3,5
begin,2,5
begun,3,5
begat,3,5
beget,4,5
begot,4,5
beret,3,5
beset,4,5
bigot,3,5
besot,3,5
begum,2,5
degum,1,6
beige,1,
beigy,1,
being,2,5
boing,4,5
bring,8,5
belay,3,5
delay,5,5
relay,5,5
welch,3,5
belie,1,5
belle,4,5
selle,2,5
cells,17,5
dells,19,5
fells,17,5
hells,21,5
jells,12,5
mells,19,5
sells,15,5
tells,17,5
wells,16,5
yells,13,5
delly,13,5
felly,14,5
jelly,9,5
kelly,8,5
nelly,8,5
telly,9,5
welly,11,5
celts,10,5
felts,8,5
gelts,10,5
melts,13,5
pelts,10,5
welts,12,5
bolts,18,5
bemas,3,5
nemas,2,5
bimas,5,5
betas,6,5
bemix,1,5
remix,4,5
kench,4,5
tench,6,5
wench,5,5
bunch,8,5
fends,15,5
lends,15,5
mends,14,5
pends,12,5
rends,16,5
sends,11,5
tends,10,5
vends,11,5
wends,14,5
benny,9,5
denes,12,5
genes,7,5
lenes,12,5
penes,12,5
benne,4,5
penne,6,5
bonne,6,5
benni,3,5
penni,4,5
fenny,8,5
jenny,4,5
penny,10,5
wenny,5,5
bonny,5,5
bunny,9,5
cents,11,5
dents,12,5
gents,11,5
hents,13,5
rents,12,5
tents,14,5
vents,10,5
bints,11,5
buret,4,5
bergs,2,5
burgs,10,5
berme,1,5
derms,8,5
germs,7,5
herms,14,5
perms,7,5
terms,8,5
derry,13,5
ferry,13,5
herry,13,5
jerry,10,5
kerry,9,5
merry,12,5
perry,13,5
serry,10,5
terry,12,5
burry,9,5
berth,1,5
reset,8,5
besom,2,5
bosom,2,5
gests,16,5
hests,15,5
jests,11,5
nests,14,5
pests,17,5
rests,12,5
tests,15,5
vests,14,5
wests,15,5
zests,11,5
fetas,6,5
getas,3,5
zetas,3,5
botas,8,5
botel,4,5
heths,3,5
meths,8,5
teths,3,5
jeton,2,9
seton,2,9
devel,5,5
kevel,5,5
level,6,5
revel,9,5
bezil,1,5
bhang,2,5
chang,4,5
whang,3,5
bhoot,1,5
shoot,11,5
bhuts,3,5
phuts,4,5
shuts,10,5
bouts,11,5
biali,1,5
bialy,3,5
bigly,2,5
bibbs,2,5
jibbs,3,5
sibbs,2,5
bible,1,5
birle,3,5
bices,12,5
dices,16,5
fices,15,5
rices,17,5
sices,16,5
vices,11,5
bizes,9,5
giddy,4,5
kiddy,5,5
middy,5,5
widdy,6,5
boded,8,5
biped,7,5
bidet,3,5
biter,9,5
bodes,10,5
bield,3,
field,5,
wield,3,
yield,3,
kiers,6,5
liers,9,5
piers,6,5
tiers,6,5
viers,7,5
birrs,6,5
jiffs,5,5
miffs,6,5
riffs,7,5
tiffs,7,5
jiffy,3,5
miffy,3,5
bight,12,5
dight,12,5
eight,11,5
fight,11,5
hight,12,5
light,12,5
might,11,5
night,12,5
right,11,5
sight,12,5
tight,11,5
wight,11,5
gigot,1,6
diked,14,5
hiked,11,5
liked,12,5
miked,10,5
piked,12,5
diker,13,5
hiker,9,5
liker,15,5
piker,9,5
siker,9,5
dikes,20,5
hikes,16,5
kikes,12,5
likes,16,5
mikes,19,5
pikes,20,5
sikes,22,5
tikes,18,5
yikes,11,5
bilbo,1,5
bimbo,2,5
files,18,5
miles,21,5
piles,20,5
riles,20,5
tiles,19,5
wiles,21,5
bilge,3,5
bulge,3,5
binge,6,5
bilgy,3,5
bulgy,5,5
milks,10,5
silks,10,5
dills,23,5
fills,25,5
gills,22,5
hills,23,5
jills,18,5
kills,19,5
mills,25,5
nills,17,5
pills,22,5
rills,21,5
sills,23,5
tills,21,5
vills,21,5
wills,22,5
yills,17,5
zills,16,5
birls,11,5
dilly,12,5
filly,14,5
